dong,households,population,charger_count,apt_households,households_per_charger,apt_per_charger
다정동,67,4411,2.0,11070.0,33.5,5535.0
대평동,250,6919,1.0,4362.0,250.0,4362.0
반곡동,121,8440,10.0,6491.0,12.1,649.1
나성동,66,10176,10.0,6482.0,6.6,648.2
종촌동,61,7934,25.0,11251.0,2.44,450.04
새롬동,317,6308,24.0,9937.0,13.208333333333334,414.0416666666667
도담동,53,9684,32.0,10319.0,1.65625,322.46875
고운동,54,10762,46.0,12551.0,1.173913043478261,272.8478260869565
아름동,163,5227,30.0,8007.0,5.433333333333334,266.9
소담동,131,12767,35.0,8498.0,3.742857142857143,242.8
