dong,households,population,charger_count,apt_households,households_per_charger,apt_per_charger
다정동,67,4411,2.0,11070.0,33.5,5535.0
대평동,250,6919,1.0,4362.0,250.0,4362.0
반곡동,121,8440,10.0,6491.0,12.1,649.1
나성동,66,10176,10.0,6482.0,6.6,648.2
종촌동,61,7934,25.0,11251.0,2.44,450.04
새롬동,317,6308,24.0,9937.0,13.208333333333334,414.0416666666667
도담동,53,9684,32.0,10319.0,1.65625,322.46875
고운동,54,10762,46.0,12551.0,1.173913043478261,272.8478260869565
아름동,163,5227,30.0,8007.0,5.433333333333334,266.9
소담동,131,12767,35.0,8498.0,3.742857142857143,242.8
어진동,150,7351,19.0,4282.0,7.894736842105263,225.3684210526316
한솔동,317,1090,39.0,6520.0,8.128205128205128,167.17948717948718
보람동,99,12057,148.0,6923.0,0.668918918918919,46.777027027027025
연동면,1864,1423,12.0,439.0,155.33333333333334,36.583333333333336
소정면,566,1809,13.0,475.0,43.53846153846154,36.53846153846154
금남면,197,3039,47.0,1141.0,4.191489361702128,24.27659574468085
연서면,286,4076,31.0,414.0,9.225806451612904,13.35483870967742
부강면,94,1594,19.0,211.0,4.947368421052632,11.105263157894736
전의면,477,3654,31.0,197.0,15.387096774193548,6.354838709677419
연기면,6182,20510,21.0,0.0,294.3809523809524,0.0
장군면,336,4648,45.0,0.0,7.466666666666667,0.0
전동면,239,2860,7.0,0.0,34.142857142857146,0.0
해밀동,161,5876,0.0,4038.0,,
